错误码
REST API
REST API 错误码从 50000 到 59999

公共
错误码从 50000 到 53999

通用类
错误码	HTTP 状态码	错误提示
59609	200	经纪商已经存在
59610	200	经纪商不存在
59611	200	经纪商状态是未审核
59612	200	时间参数格式转换失败
59613	200	当前未与子账户建立托管关系
59614	200	托管子账户不支持此操作
59615	200	起始日期和结束日期的时间间隔不能超过180天。
59616	200	起始日期不能大于结束日期
59617	200	子账户创建成功，账户等级设置失败
59618	200	创建子账户失败
59619	200	该接口不支持独立经纪商子账户，请使用为独立经纪商提供的专有接口。
59622	200	您正在创建独立经纪商 2 级子账号。该 1 级子账号不存在或有误，请先创建 1 级子账号或使用正确的 1 级子账号。
59623	200	独立经纪商 1 级子账号下存在 2 级子账号，请删除 2 级子账号后重试。
59648	200	调整后实际现货对冲占用数量不足，有潜在爆仓风险，请调整现货对冲占用数量
59649	200	关闭现货对冲占用模式可能会增加强制平仓的风险。请调整仓位，使保证金率处于安全状态。
59650	200	切换对冲单位可能会增加强制平仓的风险。请调整仓位，使保证金率处于安全状态。
59651	200	未开启现货对冲占用，无法设置现货对冲数量
59652	200	不支持为非杠杆币种设置现货对冲占用数量
59658	200	以下币种不支持开启质押：{ccy}
59658	200	以下币种不支持开启质押：{ccy} 和 {ccy1}
59658	200	以下币种不支持开启质押：{ccy}，{ccy1} 和 {ccy2}
59658	200	以下币种不支持开启质押：{ccy}，{ccy1}，{ccy2} 以及其他 {number} 种
59659	200	设置失败，需同时开启 {ccy} 和 {ccy1} 质押
59660	200	设置失败，需同时关闭 {ccy} 和 {ccy1} 质押
59661	200	设置失败，无法关闭 {ccy} 质押
59662	200	设置失败，当前存在质押 {ccy} 为保证金的仓位或挂单
59662	200	设置失败，当前存在质押 {ccy} 和 {ccy1} 为保证金的仓位或挂单
59662	200	设置失败，当前存在质押 {ccy}，{ccy1} 和 {ccy2} 为保证金的仓位或挂单
59662	200	设置失败，当前存在质押 {ccy}，{ccy1},{ccy2} 和其他 {number} 种币种为保证金的仓位或挂单
59664	200	设置失败，当前存在 {ccy} 借币
59664	200	设置失败，当前存在 {ccy} 和 {ccy1} 借币
59664	200	设置失败，当前存在 {ccy}，{ccy1} 和{ccy2} 借币
59664	200	设置失败，当前存在 {ccy}，{ccy1}，{ccy2} 和其他 {number} 种币种借币
59665	200	设置失败，保证金不足。请增加质押币数量，以达到仓位保证金要求。
59666	200	设置失败，无法同时开启和关闭币种质押。
59667	200	设置失败，虚拟账户不支持开启质押币
59668	200	调整杠杆倍数前，请先撤销逐仓止盈止损委托、移动止盈止损委托、计划委托，取消追逐限价委托并停止正在运行的策略
59669	200	调整杠杆倍数前，请先撤销全仓止盈止损委托、移动止盈止损委托、计划委托和追逐限价委托，并停止正在运行的策略
59670	200	当前该交易币对的订单数量超过 {param0} 个，调整杠杆倍数前请先撤销挂单或减少订单数量，订单数量低于或等于 {param1} 个后再进行操作
59671	200	{param0} 不支持自动赚币
59672	200	关闭自动赚币后，不支持调整最低出借年化
59673	200	开启自动赚币的 24 小时内，无法进行关闭，请在 {param0} 重试
59674	200	该币种开启自动赚币后，不支持借币进行划转或提取
59675	200	{param0} 已开启自动赚币
59676	200	当手续费等级等于或高于 {param0} 时，才可以开启自动赚币
59678	200	切换失败。请撤销全部现货挂单后再次尝试。
59679	200	切换失败，您当前的账户不支持切换手续费币种。
59683	200	请先开启该币种的质押，再将其设置为结算币种
59684	200	该币种不支持进行借币交易
59686	200	不支持该币种作为结算币种
大宗交易
错误码从 70000 开始

错误码	HTTP 状态码	错误提示
70000	200	询价单不存在
70001	200	报价单不存在
70002	200	大宗交易不存在
70003	200	公共的大宗交易不存在
70004	200	无效的产品ID {instId}
70005	200	组合交易的数量不能超过最大值
70006	200	不满足最小资产要求
70007	200	该产品类型 {instFamily} 的标的指数 {instType} 不存在
70008	200	MMP状态下操作失败。
70009	200	Data数组必须至少含有一个有效元素
70010	200	时间戳参数必须是Unix时间戳的毫秒格式
70011	200	产品类型 {instType} 存在重复设置
70012	200	同一个instType{instType}下的instFamily/instId{instId} 存在重复设置
70013	200	endTs必须大于等于beginTs
70014	200	不允许对所有产品类别设置includeAll=True.
70015	200	您在完成高级身份认证后才能交易此类产品
70016	200	交易产品设置中需选择至少一个交易品种
70060	200	账号 {account} 不存在或输入有误。仓位转移的两边帐号必须属于同一个主帐号。
70061	200	您输入的仓位数量应小于您当前的持仓量，方向应与您当前的持仓方向相反。
70062	200	账号 {account} 已达到每日仓位转移次数的上限
70064	200	仓位不存在
70065	200	未能转移仓位，因为无法确定成交价格
70066	200	现货模式不支持仓位转移，请切换到其他账户模式后重试
70067	200	杠杆交易暂不支持仓位转移
70100	200	组合交易中的产品ID重复
70101	200	clRfqId重复
70102	200	未指定对手方
70103	200	无效的对手方
70105	200	非全现货的RFQ总价值应该大于最小名义值{nonSpotMinNotional}
70106	200	下单数量小于最小交易数量
70107	200	对手方的数量不能超过最大值
70108	200	全现货的RFQ总价值应该大于最小名义值{spotMinNotional}
70109	200	所选产品无有效对手方
70200	200	不能取消处于{rfqState}状态的询价单
70203	200	取消失败，由于询价单数量超过限制数量{rfqLimit}
70207	200	取消失败，由于您没有询价挂单
70208	200	取消失败，由于服务暂时不可用，请稍后重试
70301	200	clQuoteId重复
70303	200	不能对处于{rfqState}状态的询价单报价
70304	200	价格应该是下单价格精度的整数倍
70305	200	买入价格不能高于报价
70306	200	报价的组合交易没有匹配{rfqId}的组合交易
70307	200	数量应该是下单数量精度的整数倍
70308	200	不允许对自己的询价单报价
70309	200	不允许对相同询价单进行同一方向的报价
70310	200	instId {instId} 报价不可以超过你预设的价格限制
70400	200	不能取消处于{quoteState}状态的报价单
70408	200	取消失败，由于报价单数量超过限制数量{quoteLimit}
70409	200	取消失败，由于您没有报价挂单
70501	200	询价单{rfqId}没有被{quoteId}报价
70502	200	组合交易没有匹配{rfqId}的组合交易
70503	200	执行腿的价值总和小于大宗交易的最小名义值
70504	200	执行失败，因为询价单的状态是{rfqState}
70505	200	执行失败，因为报价单的状态是{quoteState}
70506	200	腿的数量比例与原RFQ不一致
70507	200	部分执行尝试失败。须设置allowPartialExecution为true
70508	200	没有可用的产品设置。
70509	200	交易执行失败：对手方相关错误
70510	200	如需了解错误详情，请查看 acctAlloc 字段
70511	200	正在执行报价
70514	200	每个交易品种的各类账户腿的数量之和，需与组合询价单总量一致
70515	200	各子账户的腿数量与组合询价单的比例需在所有交易品种中保持一致
70516	200	您最多可为组合询价单选择 {param0} 个子账户
70517	200	{param0} 不存在，或您暂无权限创建组合询价单
70518	200	请勿为组合询价单重复选择同一账户
75001	200	交易 ID 不存在
75002	200	{sprdId} : 目前无法下新订单或修改现有订单
75003	200	价格无效
56000	200	大宗交易不存在
56001	200	多腿的数量不能超过 {legLimit}
56002	200	执行和验证的多腿数量不匹配
56003	200	重复的clBlockTdId
56004	200	不允许自成交
56005	200	执行和验证的clBlockTdId 不匹配
56006	200	执行和验证的角色不能相同
56007	200	执行和验证的第{legNo}条腿不匹配
56008	200	重复的产品名称
跟单交易
错误码从 59200 到 59300

错误码	HTTP 状态码	错误提示
59128	200	您当前身份为带单交易员。您设置的带单合约 {instrument} 杠杆倍数不能超过 {num}×
59129	200	需优先使用 {param0} 进行还币
59130	200	当资产 < 1 USD 时，仅支持用于偿还相同币种的借币
59206	200	该带单交易员已无更多跟单空位
59216	200	仓位不存在，请稍后重试
59218	200	市价全平中...
59256	200	无法切换为买卖模式，请降低跟单人数至1人
59245	200	作为带单交易员，{param0} 单次下单张数应小于或等于 {param1}
59247	200	杠杆倍数过高，当前仓位已超过该杠杆倍数的最大仓位，请重新调整杠杆倍数
59260	200	您还不是现货带单交易员，请先在网页端/移动端完成申请
59262	200	您还不是合约带单交易员，请先完成申请
59641	200	由于您当前有定期借币，无法切换账户模式
59642	200	跟单和带单员只能使用现货或合约模式
59643	200	当前存在现货跟单，暂不可切换
59263	200	仅白名单用户支持使用跟单功能，独立经纪商请联系 BD 进行处理
59264	200	不支持现货跟单
59267	200	取消失败，跟单关系不存在
59268	200	存在交易员未带单的产品
59269	200	该合约交易员不存在
59270	200	固定金额跟单时，最大跟单金额 (copyTotalAmt) 需要大于等于单笔跟单金额 (copyAmt)
59273	200	您还不是合约跟单用户，请先开始跟单
59274	200	无法跟自己带的单
59275	200	操作失败，您正在申请成为交易员，无法跟单
59276	200	交易员正在退出，当前无法跟单
59277	200	到达跟单人数上限，不允许继续跟单
59278	200	正在处理您的停止跟单请求，请稍后再试
59279	200	您已设置跟单，请勿重复设置
59280	200	跟单关系不存在，请先进行首次设置
59282	200	仅主账号在白名单中的独立经纪商 ND 子账户支持使用该接口，请联系 BD 进行处理
59283	200	当前账户不在合约模式
59284	200	超过本月 {param0} 次调整上限
59286	200	当前账户模式为现货模式，无法成为合约带单人
59287	200	请使用 {param0}-{param1} 范围内的分润比例
59288	200	您当前身份为带单交易员。您的账户正处于组合保证金模式，请切换至合约或跨币种模式后重试。
59130	200	最高止盈比例为 {num}%，请重新输入
59258	200	您当前身份为带单交易员，暂不支持该操作
59259	200	请输入在有效范围内的跟单比例
59285	200	您尚未进行过带单或跟单操作
59292	200	该带单交易员未开启自定义跟单模式
策略交易
错误码从 55100 到 55999

错误码	HTTP 状态码	错误提示
55100	200	止盈百分比应在 {parameter1} ~ {parameter2} 的范围内
55101	200	止损百分比应在 {parameter1} ~ {parameter2} 的范围内
55102	200	止盈百分比需大于当前策略收益率
55103	200	止损百分比需小于当前策略收益率
55104	200	仅合约网格支持按收益率百分比止盈止损
55105	200	当前状态不支持加仓操作
55106	200	加仓金额应在 {parameter1} ~ {parameter2} 的范围内
55111	200	此信号名称正在使用中，请尝试新名称
55112	200	此信号不存在
55113	200	创建信号策略的杠杆倍数大于交易产品列的最大杠杆倍数
55116	200	每个交易对只能进行一笔追逐限价委托
WebSocket
WebSocket 错误消息均为英文，中文错误消息仅供参考

公共
错误码从 60000 到 64002

通用类
错误码	错误消息
60004	无效的 timestamp
60005	无效的 apiKey
60006	请求时间戳过期
60007	无效的签名
60008	当前服务不支持订阅{0}频道，请检查WebSocket地址
60009	登录失败
60011	用户需要登录
60012	不合法的请求
60013	无效的参数 args
60014	用户请求频率过快，超过该接口允许的限额
60018	错误的 URL 或者 {0} 不存在，请参考 API 文档使用正确的 URL，频道和参数
60019	无效的op{0}
60023	批量登录请求过于频繁
60024	passphrase不正确
60026	不支持APIKey和token同时登录
60027	参数{0}不可为空
60028	当前服务不支持此功能，请检查WebSocket地址
60029	该频道仅支持手续费等级为 VIP6 及以上的用户订阅使用
60030	books50-l2-tbt 深度频道仅支持手续费等级为 VIP5 及以上的用户订阅使用
60031	WebSocket地址不支持多账户和重复登录
60032	API key 不存在
60033	{param0} 参数错误
63999	由于内部错误，登录失败，请稍后重试。
64000	订阅参数 uly 已失效，请您尽快将 uly 替换为 instFamily，更多详情可参考: https://www.okx.com/cn/help-center/changes-to-v5-api-websocket-subscription-parameter-and-url.
64001	该频道到已经迁移到了 '/business' URL，请使用新的 URL。更多详情可参考：https://www.okx.com/cn/help-center/changes-to-v5-api-websocket-subscription-parameter-and-url.
64002	"/business" URL 不支持该频道. 请使用"/private" URL(对于私有频道), 或者"/public" URL(对于公有频道)，更多详情可参考：https://www.okx.com/cn/help-center/changes-to-v5-api-websocket-subscription-parameter-and-url.
64003	用户交易费等级不支持访问该频道
64004	不允许为 {instId} 同时订阅 {channelName} 以及 books-l2-tbt。请先取消订阅 books-l2-tbt。
64007	由于 WebSocket 内部错误导致操作 {0} 失败，请稍后再试。
64008	因服务升级，该连接即将关闭。请重新连接。
关闭帧
状态码	文案
1009	用户订阅请求过大
4001	登录失败
4002	参数不合法
4003	登录账户多于100个
4004	空闲超时30秒
4005	写缓冲区满
4006	异常场景关闭
4007	API key已更新或删除，请重新连接
4008	总订阅频道数量超过最大限制
4009	该连接订阅频道数超限制
 请注意：此页面展示的产品与服务是否可用，将视您所在的地区而定。请参阅您所在地区适用的服务条款了解更多详情。
